Y;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9
12450;42;64564;0;110;1;0;1600;5;1080
12750;36;63459;0;97;1;0;1400;5;1060
11925;44;63451;0;97;0;0;1400;3;1025
12950;33;62000;0;110;1;0;1600;5;1075
11950;42;61300;0;97;1;0;1400;3;1030
12900;41;61200;0;110;1;0;1600;3;1045
11900;41;61000;0;110;0;0;1600;5;1075
11650;38;60829;0;110;1;0;1600;5;1075
10950;44;60500;0;110;0;0;1600;5;1075
13950;35;59500;1;69;1;0;1900;3;1110
13950;44;59000;0;110;0;1;1600;5;1110
11950;40;58954;0;110;1;0;1600;5;1080
10950;38;58798;0;110;1;0;1600;5;1075
12450;38;58363;0;110;1;0;1600;3;1055
11950;43;58277;0;110;1;0;1600;3;1045
13500;33;57711;1;90;1;0;2000;3;1165
11690;33;57269;0;110;1;0;1600;5;1075
13500;39;56001;0;110;1;0;1600;5;1075
11950;42;55968;0;110;0;0;1600;3;1050
12900;39;55678;0;110;1;0;1600;4;1030
13500;43;55539;0;110;1;0;1600;5;1085
11750;42;55400;0;110;0;0;1600;5;1075
11750;33;55350;0;110;0;0;1600;5;1075
10850;43;54600;0;110;0;0;1600;4;1030
11750;43;53773;0;110;1;0;1600;5;1075
14950;42;53719;0;110;1;1;1600;5;1105
9940;39;53644;0;110;1;0;1600;5;1075
12900;42;53350;0;110;0;0;1600;5;1075
13500;38;53000;0;110;1;0;1600;5;1075
11750;44;52084;0;97;1;0;1400;3;1025
11950;44;52000;0;97;0;0;1400;3;1025
13450;33;51945;0;110;1;0;1600;5;1075
11950;41;51732;0;97;1;0;1400;3;1025
12495;39;50873;0;110;1;0;1600;5;1075
13500;41;50856;0;110;0;0;1600;4;1030
12750;40;50640;0;110;1;0;1600;5;1075
12000;39;50000;0;97;1;0;1400;5;1060
11950;38;49500;0;110;1;0;1600;5;1075
12495;44;49332;0;110;1;0;1600;5;1080
12450;34;49291;0;110;1;0;1600;3;1040
14750;40;48952;1;90;1;0;2000;5;1205
10950;39;48945;0;110;0;0;1600;3;1040
13500;33;48928;1;69;1;0;1900;3;1105
12950;38;48197;0;110;1;0;1600;5;1075
13500;35;48052;1;69;1;0;1900;3;1105
13450;34;48011;0;110;1;0;1600;4;1030
13500;43;48000;0;110;1;0;1600;5;1075
11480;41;47350;0;110;1;0;1600;5;1075
13450;39;46821;0;97;1;0;1400;5;1060
11495;39;46694;0;110;0;0;1600;3;1040
12750;43;46515;0;97;0;0;1400;5;1025
14990;38;46327;0;110;1;0;1600;3;1055
12950;35;46304;0;97;1;0;1400;5;1060
12950;40;45886;0;110;1;0;1600;5;1080
12850;39;45713;0;97;1;0;1400;5;1085
13950;40;45600;0;110;1;1;1600;5;1105
11950;41;45287;0;110;1;0;1600;5;1075
12950;39;45081;0;110;1;0;1600;5;1075
11700;40;44830;0;110;1;0;1600;5;1075
9950;37;44757;0;97;0;0;1400;3;1025
11895;44;44218;0;97;1;0;1400;5;1060
12950;43;43632;0;110;1;0;1600;5;1075
12500;36;43427;0;110;1;0;1600;3;1040
13875;39;43254;0;110;1;0;1600;5;1075
10500;35;43000;0;110;0;0;1600;3;1050
12295;33;42823;0;110;1;0;1600;5;1075
13950;42;42560;0;110;1;0;1600;5;1080
10950;38;41754;0;110;0;0;1600;3;1040
12950;44;41499;0;110;1;0;1600;5;1103
12850;40;41339;0;110;1;0;1600;5;1080
13995;35;41000;0;110;1;0;1600;5;1075
13750;39;40000;0;110;1;0;1600;3;1055
12750;37;39757;0;110;1;0;1600;5;1075
12500;41;39659;0;110;1;0;1600;3;1045
13950;43;39650;0;110;0;0;1600;3;1055
11500;39;39524;0;97;1;0;1398;3;1025
13950;44;39516;0;97;1;0;1400;5;1060
11895;41;39439;0;97;0;0;1400;5;1060
9950;44;39000;0;97;1;0;1400;3;1025
13500;42;38932;0;110;1;0;1600;3;1040
11450;37;38812;0;97;0;0;1400;3;1025
12450;42;38665;0;110;1;0;1600;5;1075
12950;40;38653;0;110;1;0;1600;5;1080
13995;44;38461;0;110;1;0;1600;5;1080
11750;42;38078;0;97;0;0;1400;3;1025
11650;39;37782;0;97;1;0;1400;5;1060
9950;43;37576;0;97;0;0;1400;3;1030
13950;41;37533;0;110;1;0;1600;5;1075
12950;44;37389;0;110;1;0;1600;5;1080
10950;38;37320;0;97;1;0;1400;3;1025
9900;42;37000;0;97;1;0;1400;3;1025
11950;44;37000;0;110;0;0;1600;4;1075
11990;40;36566;0;110;0;0;1600;5;1090
10750;36;36269;0;110;1;0;1600;5;1075
13950;37;36074;0;110;1;1;1600;5;1075
11250;44;36066;0;110;1;0;1600;3;1040
12950;39;34599;0;110;1;0;1600;5;1075
11950;41;34000;0;110;1;0;1600;5;1075
10950;42;33623;0;97;1;0;1400;3;1025
12950;33;33591;0;110;1;0;1600;5;1075
12950;35;33258;0;110;1;0;1600;5;1075
11695;43;33113;0;110;1;0;1600;5;1075
11000;41;33000;0;110;1;1;1600;5;1075
13950;35;32941;0;110;1;0;1600;5;1080
11950;38;32781;0;110;0;0;1600;5;1075
11750;40;32532;0;110;1;0;1600;3;1040
12400;34;32431;0;97;1;0;1400;5;1060
12500;35;32000;0;110;0;0;1600;3;1040
12900;33;31000;0;110;1;0;1600;5;1075
12200;41;30989;0;110;0;0;1600;3;1045
12750;43;30742;0;110;1;0;1600;3;1040
11950;42;30190;0;110;1;0;1600;5;1075
11900;41;29716;0;116;1;0;1600;5;1075
11950;44;29716;0;110;1;1;1600;3;1070
14950;42;29640;0;110;0;0;1600;3;1055
11950;41;29056;0;97;1;0;1400;5;1060
12950;33;28715;0;110;1;0;1600;5;1075
14950;41;28571;0;110;0;0;1600;5;1090
13450;40;28362;0;110;1;0;1600;3;1040
13750;38;28150;0;110;1;0;1600;5;1075
12950;43;27301;0;110;1;0;1600;3;1040
12750;33;27240;0;110;1;0;1600;5;1075
11895;39;27170;0;97;1;0;1400;5;1060
9950;42;27141;0;97;1;0;1400;5;1060
12450;38;26262;0;110;1;0;1600;5;1075
12500;38;26000;0;97;1;0;1400;5;1060
14950;43;25228;0;110;1;0;1600;3;1045
13750;39;25062;0;110;1;0;1600;5;1080
12695;39;24723;0;110;1;1;1600;4;1060
14990;33;24650;0;110;1;0;1600;3;1055
12750;43;24553;0;110;1;0;1600;5;1080
14350;41;24475;0;110;1;0;1600;5;1030
12950;39;24444;0;110;1;0;1600;3;1040
11500;35;24011;0;97;0;0;1400;3;1025
11950;41;24000;0;97;1;0;1400;3;1025
13450;40;23616;0;110;1;0;1600;5;1075
12900;38;22865;0;110;1;0;1600;5;1075
10500;41;22780;0;86;1;0;1300;5;1035
10950;35;21904;0;97;0;0;1400;3;1025
11950;41;21651;0;97;0;0;1400;3;1025
11450;37;21500;0;110;1;0;1600;5;1030
13250;44;21027;0;110;1;0;1600;5;1080
10250;39;18500;0;110;0;0;1600;4;1030
13995;35;18000;0;110;1;0;1600;5;1075
11950;40;17051;0;97;0;0;1400;5;1060
13250;33;16512;0;97;1;0;1400;5;1085
12950;40;16325;0;110;1;0;1600;5;1080
11750;38;16000;0;97;1;0;1400;5;1060
11500;39;12000;0;110;1;0;1600;5;1075
13500;43;10000;0;97;1;0;1400;5;1060
6500;53;216000;1;69;0;0;1900;3;1110
6400;51;198167;1;69;0;0;1900;4;1095
7000;53;176000;1;69;0;0;1900;3;1105
7750;54;174139;1;72;1;0;2000;4;1100
8900;45;174000;1;69;1;0;1900;5;1095
8500;55;150000;0;110;1;0;1600;3;1075
8950;54;149329;1;72;1;0;2000;5;1135
9900;51;146736;0;110;1;0;1600;5;1080
10250;53;143513;1;69;0;0;1900;5;1140
9250;48;142130;0;110;0;0;1600;5;1119
7750;48;140700;1;69;1;0;1900;5;1110
9450;54;138394;1;69;1;0;1900;4;1095
7750;55;137000;1;72;1;0;2000;5;1135
8250;52;135258;1;69;1;0;1900;5;1140
9950;49;131364;0;110;1;0;1600;5;1075
4450;56;129155;1;69;0;0;1800;5;1110
9950;50;126110;0;110;0;0;1600;3;1055
9000;48;119742;0;110;1;0;1600;5;1080
9950;53;117913;1;69;1;0;1900;5;1110
12450;47;117430;1;90;1;0;2000;3;1165
10500;55;117175;0;110;1;0;1600;4;1035
10750;54;115558;0;110;1;0;1600;4;1035
8950;53;115113;0;97;1;0;1400;3;1025
10500;54;115046;1;69;1;0;1900;5;1140
5150;56;113997;1;72;1;0;2000;5;1135
10950;49;107859;0;97;0;0;1400;5;1060
9450;52;104805;0;97;1;0;1400;3;1025
9950;54;103454;0;110;1;0;1600;5;1075
10950;51;103018;1;69;0;0;1900;5;1140
11900;47;102352;0;110;1;0;1600;5;1080
9950;50;102030;0;97;1;0;1400;5;1060
11950;54;101352;0;110;0;0;1600;5;1080
7900;50;99865;0;110;1;0;1600;4;1035
10950;52;99323;0;110;1;0;1600;3;1055
8950;48;98100;1;69;1;0;1900;5;1140
11950;51;98040;0;110;0;0;1600;5;1080
10900;49;97600;;110;1;0;1600;3;1045
9950;55;97234;;110;0;0;1600;5;1080
9950;51;96135;;72;0;0;2000;3;1115
10950;54;96100;;110;1;0;1600;5;1080
8950;55;94401;;72;0;0;2000;3;1115
8950;55;94122;;86;1;0;1300;3;1015
10500;49;91340;;110;1;0;1600;3;1055
8950;53;90200;;97;0;0;1400;3;1025
9250;53;90097;;69;1;0;1900;5;1140
11500;48;89049;;97;1;0;1400;5;1060
9750;52;89000;;110;0;0;1600;5;1075
9950;45;87274;;110;1;0;1600;3;1040
11450;49;86221;;110;0;0;1600;3;1045
12500;54;84598;;110;0;0;1600;5;1075
10500;50;83567;;110;0;0;1600;5;1075
12950;50;83106;;110;1;0;1600;5;1075
12200;50;82805;;110;1;0;1600;3;1040
10950;50;82735;;97;1;0;1400;3;1030
10950;54;81905;;110;1;0;1600;5;1105
11290;49;80320;;110;1;1;1600;3;1070
10750;49;80090;;97;1;0;1400;3;1030
10895;53;79800;;110;0;0;1600;5;1075
11500;47;78785;;110;1;0;1600;5;1119
9750;48;78600;;110;1;0;1600;5;1075
10250;55;77780;;110;0;0;1600;3;1040
12500;49;77648;;110;0;0;1600;4;1030
11950;54;77270;;110;1;0;1600;4;1035
10750;50;76167;;97;1;0;1400;5;1060
11450;46;75249;;110;1;0;1600;4;1035
11950;54;75231;;110;1;0;1600;5;1080
11750;48;75045;;110;1;0;1600;3;1055
10950;50;74849;;110;1;1;1600;4;1060
11950;55;74715;;110;1;0;1600;5;1080
10995;49;74656;;69;0;0;1900;3;1105
11450;56;74500;;97;0;0;1400;3;1025
8900;49;74494;;110;1;0;1600;5;1075
10500;50;73634;;110;0;0;1587;5;1075
11750;47;73403;;110;1;0;1600;5;1075
11450;49;73175;;97;1;0;1400;3;1030
12000;52;73000;;110;0;0;1600;3;1055
11950;50;72242;;110;0;1;1600;3;1070
9850;53;72000;;97;1;0;1400;3;1025
10950;54;71725;;110;1;0;1600;4;1035
10950;54;71276;;110;0;0;1600;5;1080
8695;50;70440;;69;1;0;1900;3;1105
10990;53;70239;;110;0;0;1600;3;1040
9500;55;69813;;97;1;0;1400;3;1025
11950;49;69659;;86;0;0;1300;3;1025
10750;46;69574;;97;0;0;1400;5;1065
8750;47;69000;;69;1;0;1900;5;1140
8750;49;68565;;110;1;0;1600;4;1030
11450;55;68520;;72;1;0;2000;3;1115
9950;46;68414;;97;0;0;1400;3;1025
11950;56;66777;;110;0;0;1600;5;1090
13950;52;66527;;110;1;0;1600;5;1080
11250;54;66063;;110;1;0;1600;5;1090
10900;50;65471;;97;1;0;1400;5;1060
9750;56;65400;;97;1;0;1400;3;1025
9950;52;65170;;97;1;0;1400;3;1025
11950;56;65000;;110;1;0;1600;5;1075
10450;48;64193;;110;1;0;1600;3;1040
8950;54;64000;;97;1;0;1400;3;1025
10250;54;63792;;110;1;0;1600;5;1075
9930;53;63635;;110;1;0;1600;4;1035
10500;54;63135;;110;1;0;1600;3;1050
11950;54;63123;;110;1;0;1600;4;1035
11500;48;63000;;69;1;0;1900;5;1140
11500;55;63000;;110;0;0;1600;4;1035
11450;54;62987;;110;0;0;1600;5;1080
9900;56;62751;;110;0;0;1600;3;1050
9500;54;62519;;97;0;0;1400;3;1025
10500;50;62280;;97;1;0;1400;5;1060
10750;50;61672;;110;0;0;1600;5;1075
8950;54;61000;;69;0;0;2000;5;1140
12000;56;61000;;110;1;0;1600;3;1050
9940;53;60558;;110;1;0;1600;4;1105
10950;47;60348;;110;0;0;1600;4;1030
10750;54;60239;;110;1;0;1600;5;1075
9799;51;59000;;97;1;0;1400;3;1025
11750;51;58761;;97;0;0;1300;5;1060
11950;54;58745;;110;1;0;1600;4;1035
11250;52;58596;;110;1;0;1600;3;1045
11750;54;58530;;110;0;0;1600;5;1075
10950;55;58377;;110;1;0;1600;3;1050
11250;56;58142;;110;1;0;1600;5;1080
9950;53;57948;;97;1;0;1400;3;1025
9700;51;57645;;110;0;0;1600;5;1080
11950;47;57500;;110;1;0;1600;4;1105
9900;53;57475;;110;0;0;1600;3;1040
9990;55;56743;;110;0;0;1600;3;1045
9475;48;56675;;97;1;0;1400;3;1025
11500;54;55877;;110;1;0;1600;5;1075
11950;53;55500;;110;1;0;1600;4;1035
11500;55;54900;;97;1;0;1400;5;1060
10500;50;54465;;110;0;0;1600;5;1075
10900;46;53700;;97;1;0;1400;5;1060
11700;52;53561;;97;1;0;1400;5;1060
11900;51;53408;;110;1;0;1600;5;1080
13950;51;53268;;110;1;0;1600;5;1080
10950;49;53116;;97;1;0;1400;3;1025
10500;56;52448;;97;0;0;1400;3;1025
10750;55;52149;;97;1;0;1400;3;1085
11950;55;52141;;110;1;0;1600;5;1070
10000;56;52000;;97;0;0;1400;3;1025
10495;48;50967;;97;1;0;1400;5;1060
11450;50;50400;;110;0;0;1600;5;1080
9400;54;50000;;97;1;0;1400;3;1025
11950;51;50000;;86;1;0;1300;5;1045
9650;53;49969;;110;0;0;1600;5;1075
18950;49;49568;;110;1;0;1600;3;1105
11450;51;49473;;110;0;0;1600;3;1055
10250;52;49432;;110;1;0;1600;3;1050
11450;48;49417;;110;1;0;1600;3;1045
9950;54;49366;;97;1;0;1400;3;1025
10500;56;48731;;110;1;0;1600;3;1055
13750;54;48370;;110;1;0;1600;5;1080
9950;48;48071;;97;0;0;1400;3;1025
10250;54;47852;;110;1;0;1600;4;1030
10850;54;47768;;110;0;0;1600;3;1055
11895;52;47689;;110;0;0;1600;5;1075
12950;53;47451;;110;1;0;1600;3;1055
11950;50;47219;;110;1;0;1600;5;1080
10750;56;47211;;110;1;0;1600;5;1070
9550;54;46856;;97;0;0;1400;5;1060
10950;56;46500;;86;0;0;1300;5;1035
11750;52;46449;;110;1;0;1600;4;1035
10950;47;46391;;110;0;0;1600;5;1075
12450;54;46230;;110;1;0;1600;3;1055
10500;52;46029;;110;1;0;1600;4;1030
10900;50;46000;;97;0;0;1400;3;1025
12950;50;45900;;110;1;0;1600;5;1075
10950;47;45850;;97;0;0;1400;5;1060
12500;56;45336;;110;1;0;1600;5;1080
9950;55;44537;;97;0;0;1400;3;1025
10750;56;43700;;86;1;0;1300;3;1025
12500;48;43120;;97;1;0;1400;3;1030
10450;49;41710;;110;0;0;1600;3;1040
10750;52;41700;;97;1;0;1400;3;1025
12950;49;41636;;110;1;0;1600;5;1105
10995;50;41273;;97;0;0;1400;5;1060
11950;49;40836;;110;0;1;1600;3;1075
11250;50;40400;;97;1;0;1400;5;1060
11950;47;40361;;110;1;0;1600;5;1090
13750;54;40325;;86;0;0;1300;5;1045
11000;47;40000;;110;0;0;1600;5;1080
13500;50;39706;;110;1;0;1600;5;1080
10950;54;39291;;110;1;0;1600;3;1040
10750;54;39000;;97;0;0;1400;3;1025
8950;47;38900;;97;1;0;1400;3;1025
12950;51;38403;;110;0;0;1600;3;1055
9750;56;37461;;97;0;0;1400;3;1025
10900;54;37000;;97;1;0;1400;3;1025
10995;55;36406;;110;1;0;1600;4;1035
10750;48;36005;;97;1;0;1400;5;1065
10950;52;36000;;110;1;0;1600;5;1075
13000;49;36000;;110;0;0;1600;5;1080
12950;45;36000;;110;1;1;1600;3;1070
11500;52;35823;;110;0;0;1600;5;1075
10950;56;35230;;97;0;0;1400;3;1025
11710;48;35142;;110;0;0;1600;3;1055
9980;49;34890;;97;0;0;1400;3;1025
12250;51;34882;;110;1;0;1600;5;1075
11500;46;34000;;110;1;0;1600;5;1075
11950;56;33998;;110;0;0;1600;5;1080
11500;55;33230;;110;0;0;1600;3;1050
11900;46;33021;;110;1;0;1600;5;1080
11930;49;31999;;97;0;0;1400;3;1030
10500;52;31579;;97;0;0;1400;3;1025
8950;56;31000;;97;0;0;1400;3;1025
10450;46;30806;;97;1;0;1400;5;1060
10500;55;30461;;86;1;0;1300;5;1050
12950;50;29686;;110;1;1;1600;3;1075
